data,type,decorrelation,output_type,metric,seed,radii,lambda,indicator,value
loan,contrastive,None,embedding,l2,0,0.05,0.01,acc,0.7105000019073486
loan,contrastive,None,embedding,l2,0,0.05,0.01,mcc,0.42787782691737003
loan,contrastive,None,embedding,l2,0,0.05,0.01,r2,0.3230018615722656
loan,contrastive,None,embedding,l2,0,0.05,0.01,rmse,0.06192430853843689
loan,contrastive,None,label,l2,0,0.05,0.01,acc,0.7210000157356262
loan,contrastive,None,label,l2,0,0.05,0.01,mcc,0.5157405788106737
loan,contrastive,None,label,l2,0,0.05,0.01,r2,-0.00980222225189209
loan,contrastive,None,label,l2,0,0.05,0.01,rmse,0.07489868253469467
loan,triplet,None,label,l2,0,0.05,0.01,acc,0.6800000071525574
loan,triplet,None,label,l2,0,0.05,0.01,mcc,0.35972307803939557
loan,triplet,None,label,l2,0,0.05,0.01,r2,-1.3657119274139404
loan,triplet,None,label,l2,0,0.05,0.01,rmse,0.11503951996564865
